age,sex_male,marriage,income,hb_b_psu,hb_b_pse,hb_b_pbe,hb_b_pba,hb_b_se,hb_a_psu,hb_a_pse,hb_a_pbe,hb_a_pba,hb_a_se,afra1,afra2,be_01,be_02,be_03,be_04,be_05,be_06,be_07,be_08,be_09,be_10,be_11,be_12,be_13,be_14,be_15,be_16,be_17,be_18,be_19,be_20,fnp,ftv,fra,fws,fsm,fmp,confi_gov,confi_hos,confi_wor,confi_media,hmtime,fear_sum,be_sum,risk_sum,selfeff_sum,fear_mean,be_mean,risk_mean,selfeff_mean
2,0,1,4,-1,-1,0,0,0,0,0,0,0,0,3,0,3,3,3,3,3,3,2,2,3,0,0,3,0,4,4,2,1,4,4,1,0,0,0,4,4,0,1,1,1,1,1,3,48,-2,-1,1.5,2.2857142857142856,-0.5,-0.2
2,0,1,3,0,1,1,0,0,1,1,1,-1,1,2,3,3,4,3,4,3,0,4,3,3,3,0,3,3,4,4,2,0,3,2,4,0,4,0,4,4,2,1,2,2,2,2,5,55,3,2,2.5,2.619047619047619,0.75,0.4
2,0,1,4,1,0,2,0,0,2,1,1,-1,-1,2,2,4,4,4,4,4,0,2,4,4,3,0,3,1,1,4,2,1,4,4,2,0,3,1,3,3,3,0,0,1,1,1,4,55,4,0,2.0,2.619047619047619,1.0,0.0
3,1,1,4,-2,-2,1,-1,1,-2,-2,-1,1,1,0,0,0,3,1,1,3,0,3,2,1,0,0,0,0,0,3,2,1,0,0,0,0,0,0,4,4,0,3,2,3,0,1,0,20,-8,2,0.0,0.9523809523809523,-2.0,0.4
2,0,1,5,1,-2,2,-2,2,1,0,2,1,2,0,3,4,4,4,4,4,0,4,4,4,4,0,4,4,4,4,4,4,4,4,4,0,4,1,4,4,4,0,3,3,3,2,3,72,0,5,1.5,3.4285714285714284,0.0,1.0
2,1,1,4,-1,-1,-1,-1,-2,-1,-1,-1,1,-2,2,3,4,4,3,4,4,1,4,4,4,4,3,4,3,4,4,3,3,4,4,4,3,4,3,4,4,4,0,0,3,0,4,5,72,-4,-5,2.5,3.4285714285714284,-1.0,-1.0
2,0,1,1,2,2,1,1,1,2,2,1,-1,0,3,3,4,4,4,4,4,0,4,2,4,4,4,4,3,3,4,3,2,3,3,3,0,0,0,4,4,4,0,3,3,3,2,6,66,8,3,3.0,3.142857142857143,2.0,0.6
2,0,1,4,-1,-2,2,0,0,0,0,0,0,0,0,0,4,4,3,3,3,0,4,4,4,4,0,3,3,3,4,2,3,3,3,3,1,2,1,4,3,2,1,1,2,2,1,0,60,-3,0,0.0,2.857142857142857,-0.75,0.0
2,0,1,3,1,2,2,2,2,0,2,2,1,2,2,3,4,4,4,4,4,0,4,4,4,3,4,4,2,4,4,4,3,4,4,4,4,4,3,4,3,4,0,1,2,1,2,5,72,5,9,2.5,3.4285714285714284,1.25,1.8
2,0,1,4,0,-1,1,0,0,0,0,1,-1,1,2,3,4,4,3,4,4,0,2,3,3,4,1,4,3,4,4,2,2,4,4,4,0,3,0,2,2,2,0,2,3,2,1,5,63,-1,0,2.5,3.0,-0.25,0.0
2,0,1,3,1,1,1,-2,-1,0,1,1,-1,-2,3,3,4,4,4,4,4,0,0,4,4,4,4,4,3,4,4,4,4,4,4,0,4,4,0,4,4,0,0,0,3,0,4,6,67,3,-2,3.0,3.1904761904761907,0.75,-0.4
3,1,3,3,1,1,1,0,1,1,1,1,-1,1,0,0,4,4,4,4,4,0,4,4,4,4,4,4,4,4,4,4,4,4,4,4,0,2,0,4,2,4,0,1,2,1,1,0,76,4,3,0.0,3.619047619047619,1.0,0.6
2,0,1,4,0,1,2,0,0,1,0,0,2,0,1,2,4,4,4,4,4,2,3,4,0,0,0,4,4,4,4,4,0,3,3,3,0,3,2,4,4,0,1,1,2,0,1,3,58,2,5,1.5,2.761904761904762,0.5,1.0
2,1,1,4,0,-1,-2,-2,-1,1,1,1,2,1,1,3,4,4,3,3,4,0,4,3,2,4,0,2,3,2,0,2,2,2,3,3,0,3,0,4,3,0,2,2,2,2,1,4,50,1,-1,2.0,2.380952380952381,0.25,-0.2
3,0,1,4,0,0,2,1,1,-2,-2,1,0,0,1,2,4,4,4,4,4,0,4,4,4,4,2,4,4,4,4,2,0,4,4,4,3,3,1,1,2,0,1,1,2,3,1,3,68,-4,3,1.5,3.238095238095238,-1.0,0.6
3,1,2,4,2,1,-1,-1,0,-1,2,0,0,0,2,3,4,4,4,3,4,0,4,4,4,4,4,4,4,4,4,3,0,4,2,4,4,4,0,4,3,0,1,2,2,3,2,5,68,4,0,2.5,3.238095238095238,1.0,0.0
